BLOCK HEIGHT | TX KIND  | AMOUNT           | TX ID                                | EXIT CODE    | VALIDATOR 
====================================================================================================
1704575      | bond     | 119.550506       | 46188605...2affcde9                  | applied      | tnam1q8l...wvav4amt
1704575      | claimRewards | -                | 715c16f2...43fd9ae6                  | applied      | tnam1q8l...wvav4amt
1697165      | claimRewards | -                | 0064c2bf...c1f5056e                  | applied      | tnam1q8l...wvav4amt
1697165      | bond     | 159.293111       | 574426e9...67413452                  | applied      | tnam1q8l...wvav4amt
1682840      | claimRewards | -                | 41a0c6a0...3ff07ae3                  | applied      | tnam1q8l...wvav4amt
1682840      | bond     | 318.760436       | 24f40781...6ea51979                  | applied      | tnam1q8l...wvav4amt
1656858      | bond     | 198.889127       | 34acb5aa...35645cfb                  | applied      | tnam1q8l...wvav4amt
1656858      | claimRewards | -                | ec1dc05b...83f4cb23                  | applied      | tnam1q8l...wvav4amt
1642971      | bond     | 119.536340       | a9ca1774...91b4be68                  | applied      | tnam1q8l...wvav4amt
1642971      | claimRewards | -                | 2213b3b5...4949962a                  | applied      | tnam1q8l...wvav4amt
1632620      | bond     | 1.000000         | 0f43a6e0...2bca0b70                  | applied      | tnam1q8l...wvav4amt
1632464      | bond     | 1.000000         | 8dd82842...5e90806e                  | applied      | tnam1q8l...wvav4amt
1632400      | bond     | 1.000000         | dbce4dca...fb4f1c1a                  | applied      | tnam1q8l...wvav4amt
1631953      | claimRewards | -                | f8f9b55b...d37e0aad                  | applied      | tnam1q8l...wvav4amt
1631953      | bond     | 39.846789        | 5af57779...46144e49                  | applied      | tnam1q8l...wvav4amt
1629476      | claimRewards | -                | e09756ba...8fa23533                  | applied      | tnam1q8l...wvav4amt
1629476      | bond     | 79.658502        | fd4dd7eb...0a9ffe2c                  | applied      | tnam1q8l...wvav4amt
1624164      | bond     | 199.152027       | bfa902cc...3da85e6e                  | applied      | tnam1q8l...wvav4amt
1624164      | claimRewards | -                | 7d6867a2...153c7b35                  | applied      | tnam1q8l...wvav4amt
1607670      | claimRewards | -                | 37a1ca5a...3f6631bc                  | applied      | tnam1q8l...wvav4amt
1607670      | bond     | 39.863134        | ada5fd46...f4f7e5b3                  | applied      | tnam1q8l...wvav4amt
1605327      | claimRewards | -                | 6b4acef7...76b51800                  | applied      | tnam1q8l...wvav4amt
1605327      | bond     | 159.299389       | aa90e204...7318c16d                  | applied      | tnam1q8l...wvav4amt
1593038      | claimRewards | -                | 9779bb7d...ec13a3bf                  | applied      | tnam1q8l...wvav4amt
1593038      | bond     | 159.115779       | f8d27fb2...bee8bac8                  | applied      | tnam1q8l...wvav4amt
1580320      | bond     | 318.412817       | 656bb1b2...12f3413c                  | applied      | tnam1q8l...wvav4amt
1580320      | claimRewards | -                | ccae3c20...3f1aa1b7                  | applied      | tnam1q8l...wvav4amt
1555665      | claimRewards | -                | 50154617...77da8dda                  | applied      | tnam1q8l...wvav4amt
1555665      | bond     | 119.378111       | b4b6524b...3b46c1db                  | applied      | tnam1q8l...wvav4amt
1546063      | claimRewards | -                | 93b7902a...4558a47a                  | applied      | tnam1q8l...wvav4amt
1546063      | bond     | 119.119812       | 0cfd7dd1...ffdc03d9                  | applied      | tnam1q8l...wvav4amt
1536806      | claimRewards | -                | 442b4991...9fa1bc0e                  | applied      | tnam1q8l...wvav4amt
1536806      | bond     | 39.691468        | aff10238...18b2fe28                  | applied      | tnam1q8l...wvav4amt
1534704      | claimRewards | -                | 9ca2850e...785ad7fc                  | applied      | tnam1q8l...wvav4amt
1534704      | bond     | 158.756843       | 212224e5...6f01ea0f                  | applied      | tnam1q8l...wvav4amt
1520346      | claimRewards | -                | 6ad89bd1...f2374443                  | applied      | tnam1q8l...wvav4amt
1520346      | bond     | 198.392616       | 365a53d6...d7c091d5                  | applied      | tnam1q8l...wvav4amt
1506576      | bond     | 158.709221       | 98c22454...2a5c267b                  | applied      | tnam1q8l...wvav4amt
1506576      | claimRewards | -                | b4c97f7d...3321c279                  | applied      | tnam1q8l...wvav4amt
1494220      | claimRewards | -                | 5f04b3d8...3a7f571d                  | applied      | tnam1q8l...wvav4amt
1494220      | bond     | 158.670374       | 7cc8f9e1...491f90e5                  | applied      | tnam1q8l...wvav4amt
1480098      | bond     | 118.955664       | 3f255aff...5592053c                  | applied      | tnam1q8l...wvav4amt
1480098      | claimRewards | -                | 72d64593...41aa50aa                  | applied      | tnam1q8l...wvav4amt
1472840      | claimRewards | -                | f879541c...700f6abf                  | applied      | tnam1q8l...wvav4amt
1472840      | bond     | 39.646647        | 63132476...02a8c23e                  | applied      | tnam1q8l...wvav4amt
1467799      | bond     | 79.284010        | 75366871...b2eb5b1d                  | applied      | tnam1q8l...wvav4amt
1467799      | claimRewards | -                | 1c81ff47...739778f8                  | applied      | tnam1q8l...wvav4amt
1460641      | claimRewards | -                | 41934e84...e766acf3                  | applied      | tnam1q8l...wvav4amt
1460641      | bond     | 79.255550        | eaef6604...50cddb76                  | applied      | tnam1q8l...wvav4amt
1457176      | bond     | 118.859309       | ea372fff...ce36c208                  | applied      | tnam1q8l...wvav4amt
1457176      | claimRewards | -                | 15261d98...a858108e                  | applied      | tnam1q8l...wvav4amt
1445273      | bond     | 118.856331       | 58a4f8b4...ff567bcc                  | applied      | tnam1q8l...wvav4amt
1445273      | claimRewards | -                | 0602a4dd...3847d59f                  | applied      | tnam1q8l...wvav4amt
